
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ]
5.10265410e-01, 7.83459842e-01, -5.05765021e-01
5.37389338e-01, 7.79276669e-01, -5.05765021e-01
5.19083202e-01, 7.55455792e-01, -5.05765021e-01
5.49545765e-01, 6.76331401e-01, -5.05765021e-01
5.39345026e-01, 7.00411975e-01, -5.05765021e-01
5.64805031e-01, 6.98181927e-01, -5.05765021e-01
-4.44758773e-01, 5.65208793e-01, -5.05765021e-01
-4.53695565e-01, 5.90888262e-01, -5.05765021e-01
-4.26773876e-01, 5.86507976e-01, -5.05765021e-01
4.00771320e-01, 4.81334925e-01, -5.05765021e-01
3.77124071e-01, 4.61714774e-01, -5.05765021e-01
3.71705920e-01, 4.86343622e-01, -5.05765021e-01
3.35969746e-01, 1.92878604e-01, -5.05765021e-01
3.22607815e-01, 2.15982661e-01, -5.05765021e-01
3.50075781e-01, 2.12476850e-01, -5.05765021e-01
-5.65135658e-01, 9.12025154e-01, -5.05765021e-01
-5.34550071e-01, 9.11949039e-01, -5.05765021e-01
-5.46781957e-01, 8.86654675e-01, -5.05765021e-01
-4.31900531e-01, 6.11598253e-01, -5.05765021e-01
3.52035284e-01, 6.06604695e-01, -5.05765021e-01
3.39619726e-01, 6.32400870e-01, -5.05765021e-01
3.66523296e-01, 6.28152370e-01, -5.05765021e-01
3.56620848e-01, 6.55408323e-01, -5.05765021e-01
2.90701926e-01, 5.62550783e-01, -5.05765021e-01
3.07034224e-01, 5.84003925e-01, -5.05765021e-01
3.18033040e-01, 5.60589790e-01, -5.05765021e-01
4.10868675e-01, 6.01027131e-01, -5.05765021e-01
4.25042182e-01, 6.22776330e-01, -5.05765021e-01
4.37969178e-01, 5.95769107e-01, -5.05765021e-01
5.28420210e-01, 5.41980326e-01, -5.05765021e-01
5.58043063e-01, 5.37849307e-01, -5.05765021e-01
5.40799618e-01, 5.17450809e-01, -5.05765021e-01
6.00454986e-01, 7.42906332e-01, -5.05765021e-01
5.89007139e-01, 7.71800578e-01, -5.05765021e-01
6.19076252e-01, 7.67935812e-01, -5.05765021e-01
5.73331058e-01, 7.47089505e-01, -5.05765021e-01
1.54099852e-01, 4.99846667e-01, -5.05765021e-01
1.40105292e-01, 5.23812711e-01, -5.05765021e-01
1.69521987e-01, 5.22418380e-01, -5.05765021e-01
3.57010186e-01, 8.49925756e-01, -5.05765021e-01
3.29886258e-01, 8.52017343e-01, -5.05765021e-01
3.44681114e-01, 8.77116382e-01, -5.05765021e-01
4.03202951e-01, 4.50483233e-01, -5.05765021e-01
3.60254675e-01, 7.76720285e-01, -5.05765021e-01
3.77255768e-01, 7.99727738e-01, -5.05765021e-01
3.86909992e-01, 7.75068879e-01, -5.05765021e-01
2.58247942e-01, 6.38675630e-01, -5.05765021e-01
2.75249064e-01, 6.61683083e-01, -5.05765021e-01
2.85746515e-01, 6.35593772e-01, -5.05765021e-01
2.38954052e-01, 6.14970982e-01, -5.05765021e-01
2.28640169e-01, 6.40011907e-01, -5.05765021e-01
3.50131869e-01, 8.01819324e-01, -5.05765021e-01
7.90228993e-02, 6.46878064e-01, -5.05765021e-01
6.24538586e-02, 6.23337328e-01, -5.05765021e-01
5.18769100e-02, 6.48409069e-01, -5.05765021e-01
8.88063163e-02, 6.22088194e-01, -5.05765021e-01
3.36375237e-01, 7.05606401e-01, -5.05765021e-01
3.19374114e-01, 6.82598948e-01, -5.05765021e-01
3.10858518e-01, 7.08318293e-01, -5.05765021e-01
4.93264288e-01, 7.60452390e-01, -5.05765021e-01
4.31503624e-01, 7.95544565e-01, -5.05765021e-01
4.58627552e-01, 7.93452978e-01, -5.05765021e-01
4.41626430e-01, 7.70445526e-01, -5.05765021e-01
-6.50234194e-03, 6.51225150e-01, -5.05765021e-01
3.62046342e-03, 6.26126111e-01, -5.05765021e-01
-2.57962346e-02, 6.27520502e-01, -5.05765021e-01
1.80934504e-01, 6.17912531e-01, -5.05765021e-01
1.53155342e-01, 6.19037986e-01, -5.05765021e-01
1.72429577e-01, 6.43891454e-01, -5.05765021e-01
-1.71776593e-01, 9.00908172e-01, -5.05765021e-01
-1.86512470e-01, 8.77371132e-01, -5.05765021e-01
-2.01398581e-01, 8.99518967e-01, -5.05765021e-01
-2.34319597e-01, 9.76422250e-01, -5.05765021e-01
-2.09551394e-01, 9.73457694e-01, -5.05765021e-01
-2.24044979e-01, 9.51528072e-01, -5.05765021e-01
-6.86263442e-01, 1.98554188e-01, -5.05765021e-01
-6.67180598e-01, 2.13068485e-01, -5.05765021e-01
-6.56412005e-01, 1.87587261e-01, -5.05765021e-01
-9.44928750e-02, 6.54362500e-01, -5.05765021e-01
-1.13873288e-01, 6.31006479e-01, -5.05765021e-01
-1.23909570e-01, 6.55756891e-01, -5.05765021e-01
-8.44565853e-02, 6.29612088e-01, -5.05765021e-01
-1.03593059e-01, 7.47009158e-01, -5.05765021e-01
-1.24601729e-01, 7.28613794e-01, -5.05765021e-01
-1.29838616e-01, 7.51812458e-01, -5.05765021e-01
-1.82050809e-01, 5.85688829e-01, -5.05765021e-01
-1.62670404e-01, 6.09044850e-01, -5.05765021e-01
-1.52634114e-01, 5.84294438e-01, -5.05765021e-01
9.43582952e-02, 5.00687897e-01, -5.05765021e-01
8.16540197e-02, 4.79744196e-01, -5.05765021e-01
6.77136406e-02, 5.03116310e-01, -5.05765021e-01
-2.34907433e-01, 6.90056205e-01, -5.05765021e-01
-2.54288495e-01, 6.67592227e-01, -5.05765021e-01
-2.60956764e-01, 6.92359686e-01, -5.05765021e-01
6.81939065e-01, 8.05555105e-01, -5.05765021e-01
6.55373335e-01, 8.14368844e-01, -5.05765021e-01
6.81463778e-01, 8.29850793e-01, -5.05765021e-01
-1.71149328e-01, 5.61635554e-01, -5.05765021e-01
7.03481376e-01, 6.38836741e-01, -5.05765021e-01
6.98356211e-01, 6.66465998e-01, -5.05765021e-01
