
[Name]
Plane 3

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000003e-01, -2.00000009e-03, -2.80226707e-01, 1.19448456e+02, 1.96276855e+00, 0.00000000e+00
-2.00000003e-01, -2.00000009e-03, -2.41334528e-01, 1.19526932e+02, 2.06786585e+00, 0.00000000e+00
-1.99999988e-01, 6.81044441e-03, -2.69741923e-01, 1.20138878e+02, 1.67709649e+00, 1.21522579e+01
-2.00000003e-01, 6.30004406e-02, -3.27183515e-01, 1.18808601e+02, 5.06572247e-01, 2.99204922e+01
-2.00000003e-01, 9.17769894e-02, -3.35754395e-01, 1.17466354e+02, 2.85613835e-01, 2.99486370e+01
-2.00000003e-01, 8.92610177e-02, -3.05438191e-01, 1.19306229e+02, 2.46633142e-01, 2.99054756e+01
-2.00000003e-01, 1.42007694e-01, -3.20908487e-01, 1.18682213e+02, 2.53088921e-01, 2.98964214e+01
-1.99999988e-01, 1.37037560e-01, -3.65537912e-01, 1.16837097e+02, 3.84829968e-01, 2.99508877e+01
-2.00000018e-01, 1.51040792e-01, -3.70679319e-01, 1.16491409e+02, 3.96894455e-01, 2.99495373e+01
-2.00000003e-01, 1.50273293e-01, -3.35979253e-01, 1.18182396e+02, 2.99888968e-01, 2.99075794e+01
-1.99999988e-01, 1.41408369e-01, -3.79169226e-01, 1.16259880e+02, 4.48925495e-01, 2.99633160e+01
-2.00000003e-01, 1.06359854e-01, -4.44964230e-01, 1.15477425e+02, 1.35497820e+00, 2.99938641e+01
-2.00000018e-01, 1.17907882e-01, -4.40335780e-01, 1.15346336e+02, 1.24524379e+00, 2.99930420e+01
-1.99999988e-01, 1.09299429e-01, -4.52505320e-01, 1.15461517e+02, 1.80495417e+00, 2.99943275e+01
-2.00000003e-01, 1.54472411e-01, -4.38238621e-01, 1.14833771e+02, 1.32909119e+00, 2.99934845e+01
-2.00000003e-01, 1.51423544e-01, -4.44461763e-01, 1.14873665e+02, 1.62226510e+00, 2.99941692e+01
-2.00000003e-01, 8.92186463e-02, -2.62086034e-01, 1.19657532e+02, 1.98623955e-01, 2.99094276e+01
-2.00000003e-01, 6.94585964e-02, -2.78545201e-01, 1.19869415e+02, 4.60395485e-01, 2.98321285e+01
-2.00000003e-01, 5.57119809e-02, -3.18767816e-01, 1.18983749e+02, 5.84641516e-01, 2.98962288e+01
-2.00000003e-01, 1.68675363e-01, -3.88335079e-01, 1.15294312e+02, 4.93912280e-01, 2.99657860e+01
-2.00000003e-01, 1.78571269e-01, -4.07736659e-01, 1.14530319e+02, 6.63199782e-01, 2.99754658e+01
-2.00000003e-01, 1.37183994e-01, -4.12102401e-01, 1.15525665e+02, 7.68840909e-01, 2.99816284e+01
-2.00000003e-01, 9.36001763e-02, -3.97225320e-01, 1.16470779e+02, 5.33514142e-01, 2.99821835e+01
-2.00000003e-01, 8.96430984e-02, -3.91787231e-01, 1.16741333e+02, 5.07930756e-01, 2.99772587e+01
-2.00000003e-01, 6.76136762e-02, -4.36950356e-01, 1.16463028e+02, 1.03814566e+00, 2.99975262e+01
-2.00000003e-01, 5.48439920e-02, -4.15042102e-01, 1.16752518e+02, 9.19519842e-01, 2.99824276e+01
-2.00000003e-01, 8.58882293e-02, -4.03090030e-01, 1.16501015e+02, 5.92869282e-01, 2.99859314e+01
-2.00000003e-01, 3.68947349e-02, -4.41032320e-01, 1.17141663e+02, 1.32155490e+00, 2.99932842e+01
-2.00000003e-01, -2.00000009e-03, -3.73142809e-01, 1.17174187e+02, 2.07750177e+00, 0.00000000e+00
-2.00000003e-01, -2.00000009e-03, -3.74118268e-01, 1.17144081e+02, 2.08431411e+00, 0.00000000e+00
-2.00000003e-01, 8.20786459e-04, -3.73727173e-01, 1.17203705e+02, 2.00988364e+00, 1.60631347e+00
-2.00000003e-01, 9.53191072e-02, -2.11294293e-01, 1.19730095e+02, 1.58761084e-01, 2.99028244e+01
-2.00000003e-01, 1.27937645e-01, -2.25482374e-01, 1.19994972e+02, 1.57419801e-01, 2.98651810e+01
-2.00000003e-01, 1.01420939e-01, -2.37802863e-01, 1.20731049e+02, 1.69776171e-01, 2.98709316e+01
-1.99999988e-01, 1.34132236e-01, -2.69779861e-01, 1.20203773e+02, 1.94006890e-01, 2.98662357e+01
-2.00000003e-01, 1.42496154e-01, -2.66643077e-01, 1.19977646e+02, 1.90736443e-01, 2.98642216e+01
-2.00000003e-01, 1.63742825e-01, -2.21602798e-01, 1.21599464e+02, 1.54521450e-01, 2.98100643e+01
-1.99999988e-01, 2.02618808e-01, -2.50495583e-01, 1.20582870e+02, 1.76060796e-01, 2.97988815e+01
-2.00000003e-01, 2.19569519e-01, -2.67115742e-01, 1.21227280e+02, 1.89893678e-01, 2.97697372e+01
-2.00000003e-01, 1.46523029e-01, -2.73480177e-01, 1.20195374e+02, 1.96474463e-01, 2.98559837e+01
-2.00000003e-01, 1.40698910e-01, -2.73610502e-01, 1.20273247e+02, 1.96681887e-01, 2.98580837e+01
-2.00000003e-01, 1.33470893e-01, -2.81917065e-01, 1.20096291e+02, 2.07644865e-01, 2.98655853e+01
-2.00000003e-01, 1.57812923e-01, -4.47299510e-01, 1.14616798e+02, 1.76949525e+00, 2.99946461e+01
-1.99999988e-01, 9.36295390e-02, -4.10119802e-01, 1.16249069e+02, 7.48511314e-01, 2.99862175e+01
-2.00000003e-01, 5.98585084e-02, -2.53959894e-01, 1.19719177e+02, 4.79024351e-01, 2.98248787e+01
-2.00000003e-01, 4.26660925e-02, -2.88001776e-01, 1.19415192e+02, 7.39756584e-01, 2.97846699e+01
-2.00000003e-01, 3.78483236e-02, -2.65213817e-01, 1.19344460e+02, 7.18671441e-01, 2.97845345e+01
