
[Name]
pp1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000003e-01, 6.46570623e-02, -2.84958661e-01, -2.20761841e+02, 6.10282123e-01, 4.50171585e+01
-2.00000003e-01, 6.10924140e-02, -2.86697656e-01, -2.20765747e+02, 6.21323109e-01, 4.50180702e+01
-2.00000003e-01, 6.14024661e-02, -2.87932128e-01, -2.20806641e+02, 6.29598916e-01, 4.50179977e+01
-2.00000003e-01, 7.26888403e-02, -3.25367123e-01, -2.20402710e+02, 1.03267503e+00, 4.50007744e+01
-2.00000003e-01, 8.30098167e-02, -3.11515927e-01, -2.20253998e+02, 8.14701915e-01, 4.50035210e+01
-2.00000003e-01, 6.52816817e-02, -3.11568558e-01, -2.20667908e+02, 8.16266775e-01, 4.50105438e+01
-2.00000018e-01, 6.28322735e-02, -3.20180595e-01, -2.20621277e+02, 9.30371165e-01, 4.50121078e+01
-2.00000003e-01, 6.05399199e-02, -2.87228256e-01, -2.20795914e+02, 6.24054551e-01, 4.50187263e+01
-2.00000003e-01, 7.53006488e-02, -2.99899906e-01, -2.21053070e+02, 7.16221929e-01, 4.50065460e+01
-2.00000003e-01, 9.14995894e-02, -3.07032436e-01, -2.20292938e+02, 7.75969028e-01, 4.50001259e+01
-2.00000003e-01, 5.85490353e-02, -3.14904988e-01, -2.20506760e+02, 8.48259568e-01, 4.50171318e+01
-2.00000003e-01, 4.15881313e-02, -3.02903354e-01, -2.20554459e+02, 7.19186604e-01, 4.50221481e+01
-2.00000003e-01, 4.07373160e-02, -3.03026170e-01, -2.20540741e+02, 7.20159292e-01, 4.50228043e+01
-2.00000003e-01, 9.10340548e-02, -3.10444891e-01, -2.20373123e+02, 8.07832956e-01, 4.49995956e+01
-2.00000003e-01, 9.27663222e-02, -3.13667148e-01, -2.20347656e+02, 8.53478789e-01, 4.49979248e+01
-2.00000003e-01, -5.00177220e-03, -3.84662390e-01, -2.17220703e+02, 7.32361364e+00, 0.00000000e+00
-2.00000003e-01, 1.14746043e-03, -3.84662390e-01, -2.16971863e+02, 7.39672613e+00, 1.10031033e+01
-2.00000003e-01, -5.00177220e-03, -3.77835929e-01, -2.17398148e+02, 6.95784664e+00, 0.00000000e+00
-2.00000003e-01, -5.00177220e-03, -3.39194059e-01, -2.20857269e+02, 5.25234270e+00, 0.00000000e+00
-2.00000003e-01, -5.00177220e-03, -3.35192174e-01, -2.21219223e+02, 5.14650869e+00, 0.00000000e+00
-2.00000003e-01, -3.28520918e-03, -3.36484313e-01, -2.21121078e+02, 4.98866034e+00, 3.19846201e+00
-2.00000003e-01, 1.88357066e-02, -3.61138344e-01, -2.18099335e+02, 3.67059827e+00, 4.49026413e+01
-2.00000018e-01, 1.06980763e-02, -3.61965716e-01, -2.18144165e+02, 4.50100899e+00, 2.96417351e+01
-2.00000003e-01, 1.92216858e-02, -3.70734870e-01, -2.17591431e+02, 5.03488350e+00, 4.49256058e+01
-1.99999988e-01, -5.00177220e-03, -3.57819021e-01, -2.18434921e+02, 5.93351078e+00, 0.00000000e+00
-2.00000003e-01, 1.90475080e-02, -3.84662390e-01, -2.16520859e+02, 7.59375000e+00, 4.50000000e+01
-2.00000003e-01, 3.29220369e-02, -3.84662390e-01, -2.18127869e+02, 7.59375000e+00, 4.50000000e+01
-2.00000003e-01, -5.00177220e-03, -2.42322415e-01, -2.21012299e+02, 4.56714725e+00, 0.00000000e+00
-2.00000003e-01, -5.00177220e-03, -2.60922790e-01, -2.23870270e+02, 4.54410791e+00, 0.00000000e+00
-2.00000003e-01, 8.32893886e-03, -2.38374382e-01, -2.21451141e+02, 3.03534317e+00, 2.33271561e+01
-1.99999988e-01, 2.39839125e-03, -2.55492330e-01, -2.23616226e+02, 3.69778228e+00, 1.29494047e+01
-2.00000003e-01, 1.83330849e-02, -3.42509717e-01, -2.18770386e+02, 2.65058613e+00, 4.49563141e+01
-1.99999988e-01, 4.56891619e-02, -3.84662390e-01, -2.19495392e+02, 7.59375000e+00, 4.50000000e+01
-2.00000003e-01, 5.81278503e-02, -3.84662390e-01, -2.19984711e+02, 7.59375000e+00, 4.50000000e+01
-2.00000003e-01, 4.40525934e-02, -3.76138657e-01, -2.19907562e+02, 5.62815475e+00, 4.50070000e+01
-2.00000003e-01, 2.59264447e-02, -3.64373475e-01, -2.18746613e+02, 3.60073543e+00, 4.49266129e+01
